,Molecule ChEMBL ID,Molecule Max Phase,Smiles,pChEMBL Value,Potential Duplicate,Assay Description,Target Type,Standard Relation,Standard Value,Standard Units,Value
2426,CHEMBL3585954,0,Cc1ncc(OC[C@@]2(c3ccc(F)cc3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1,5.66,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',2200.0,nM,2.2
2427,CHEMBL3921827,0,c1cnc2c(N3CCN(CCCc4ccc(OCCCN5CCCCCC5)cc4)CC3)cccc2c1,6.0,0.0,Displacement of [3H]-dofetilide from human ERG expressed in CHOK1 cell membranes incubated for 4 hrs in dark by luminescent assay,SINGLE PROTEIN,'=',1000.0,nM,6.0
2428,CHEMBL3925332,0,O=C(O)c1cc(N2CCN(CCc3ccc(OCCCN4CCCCCC4)cc3)CC2)c2ncccc2c1,4.4,0.0,Displacement of [3H]-dofetilide from human ERG expressed in CHOK1 cell membranes incubated for 4 hrs in dark by luminescent assay,SINGLE PROTEIN,'=',39810.72,nM,4.4
2429,CHEMBL38827,4,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,6.42,0.0,Inhibition of human ERG by fluorescence polarization assay,SINGLE PROTEIN,'=',377.0,nM,0.377
2430,CHEMBL2346968,0,Fc1ccc(CN2CCN(c3ccc4nnc(C(F)(F)F)n4n3)CC2)cc1,4.97,0.0,Inhibition of human ERG by IonWorks assay,SINGLE PROTEIN,'=',10715.19,nM,4.97
2431,CHEMBL2346967,0,N#Cc1ccc(CN2CCN(c3ccc4nnc(C(F)(F)F)n4n3)CC2)cc1,5.65,0.0,Inhibition of human ERG by IonWorks assay,SINGLE PROTEIN,'=',2238.72,nM,5.65
2432,CHEMBL3608743,0,NS(=O)(=O)c1ccc(Oc2ccc3ccc(=O)n(CCN4CCC(NCc5ccc6c(n5)NC(=O)CO6)CC4)c3n2)cc1,,0.0,Inhibition of human ERG by IonWorks assay,SINGLE PROTEIN,'>',100000.0,nM,100.0
2433,CHEMBL3608748,0,O=C1COc2ccc(CNC3CCN(CCn4c(=O)ccc5ncc(Oc6ccon6)cc54)CC3)nc2N1,,0.0,Inhibition of human ERG by IonWorks assay,SINGLE PROTEIN,'>',100000.0,nM,100.0
2434,CHEMBL3608753,0,O=C1COc2ccc(CNC3CCN(CCn4c(=O)ccc5ncc(OCc6ccccn6)cc54)CC3)nc2N1,,0.0,Inhibition of human ERG by IonWorks assay,SINGLE PROTEIN,'>',100000.0,nM,100.0
2435,CHEMBL4475126,0,CON=C1CCC(CN2CCN(c3nc(=O)c4cc(C(F)(F)F)cc([N+](=O)[O-])c4s3)CC2)CC1,4.32,0.0,Inhibition of human ERG transfected in HEK293 cells by whole-cell patch clamp method,SINGLE PROTEIN,'=',47980.0,nM,47.98
2436,CHEMBL4786808,0,Cc1cc(COCCN2CCOCC2)nn1-c1ccc2ccccc2c1,,0.0,Inhibition of human ERG expressed in CHO cells by patch clamp assay,SINGLE PROTEIN,,,,
2437,CHEMBL4762627,0,Cc1cc(CCCN2CCOCC2)nn1-c1ccc(Cl)c(Cl)c1,,0.0,Inhibition of human ERG expressed in CHO cells by patch clamp assay,SINGLE PROTEIN,,,,
2438,CHEMBL1214731,0,Cn1cc(Br)c(C(=O)N2CCN(CC(=O)c3ccc(F)cc3)CC2)n1,4.72,0.0,Inhibition of human ERG by patch clamp electrophysiology assay,SINGLE PROTEIN,'=',19000.0,nM,19.0
2439,CHEMBL4776842,0,CC(=O)Nc1ccc2c(c1)c(-c1nc3c(-n4cc(CN(C)C)c(C)n4)ccnc3[nH]1)cn2C,,0.0,Inhibition of human ERG,SINGLE PROTEIN,'>',40000.0,nM,40.0
2440,CHEMBL4759278,0,CN(C)c1ccc(CC(=O)N[C@@H]2CNC[C@H]2c2ccc(C(C)(F)F)cc2)cc1,5.55,0.0,Displacement of Tracer Red from human ERG incubated for 2 hrs by fluorescence polarization assay,SINGLE PROTEIN,'=',2809.0,nM,2809.0
2441,CHEMBL4751130,0,CN1CC2(CCN(CCc3ccccc3)CC2)OC(C)(C)C1=O,,0.0,Inhibition of human ERG expressed in CHO cells at -80 mV holding potential by whole cell patch clamp assay,SINGLE PROTEIN,,,,
2442,CHEMBL4541206,0,CC1OC2(CCN(CCc3ccccc3)CC2)CN(c2ccccc2)C1=O,6.4,0.0,Inhibition of human ERG expressed in CHO cells at -80 mV holding potential by whole cell patch clamp assay,SINGLE PROTEIN,'=',400.0,nM,0.4
2443,CHEMBL5411999,0,COc1cc([C@@H](C)C(=O)N2CC[C@H](Nc3ccc(-c4nc(C(F)F)n(C)n4)c(C)n3)C2)c(F)cn1,4.6,0.0,Inhibition of hERG expressed in CHO cells stably at -80 mV holding potential by automated patch clamp method,SINGLE PROTEIN,'=',25000.0,nM,25.0
2444,CHEMBL5437227,0,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)OCC(=O)N3C)n1,,0.0,Inhibition of human ERG,SINGLE PROTEIN,'>',10000.0,nM,10.0
2445,CHEMBL2403551,0,Cc1cc(N2CC[C@@H](N3CCC[C@H]3C)C2)ccc1NC(=O)c1cc(F)ccc1C,,0.0,Inhibition of human ERG transfected in CHO cells by patch clamp assay,SINGLE PROTEIN,,,,
2446,CHEMBL4866908,0,CCS(=O)(=O)c1ccc(C(NC(=O)Cc2nccs2)C(=O)Nc2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)nc1,5.26,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',5500.0,nM,5.5
2447,CHEMBL1000,4,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,4.52,0.0,Inhibition of human Potassium channel HERG expressed in mammalian cells,SINGLE PROTEIN,'=',30199.52,nM,4.52
2448,CHEMBL5565998,0,COc1nn2cc(-c3cc4ccc5c(c4o3)OC(COc3ccc(F)cc3)CO5)nc2s1,4.67,0.0,Inhibition of hERG expressed in HEK293 cells by whole cell patch clamp assay,SINGLE PROTEIN,'=',21610.0,nM,21.61
2449,CHEMBL3115194,0,COC(=O)C(CCC(=O)N(C)CCCc1nc2ccccc2[nH]1)(c1ccc(Br)cc1)C(C)C,4.9,0.0,Inhibition of human ERG by whole-cell patch clamp method,SINGLE PROTEIN,'=',12500.0,nM,12.5
2450,CHEMBL1091720,0,CCC(C)(C)Cc1c[nH]c(CCc2ccc(-c3ccccn3)cc2)n1,5.92,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',1200.0,nM,1.2
2451,CHEMBL3086038,0,Cc1cc(C(NC(=O)[C@@H]2CC[C@@H](N3CCOCC3)C[C@H]2c2ccc(Br)cc2)c2ccc(Cl)cc2)ccn1,5.82,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',1500.0,nM,1500.0
2452,CHEMBL3086032,0,C[C@H](NC(=O)[C@@H]1CC[C@@H](N2CCOCC2)C[C@H]1c1ccc(Br)cc1)c1ccc(F)cc1,5.66,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',2200.0,nM,2200.0
2453,CHEMBL96153,2,COc1ccc(C2CCN(CC[C@H]3CCOc4ccccc43)CC2)cc1OC,6.6,0.0,Inhibition of human Potassium channel HERG expressed in mammalian cells,SINGLE PROTEIN,'=',251.19,nM,6.6
2454,CHEMBL3355480,0,C[C@@H]1COCCN1c1nc(-c2nncc3[nH]ccc23)cc2c1ncn2C,,0.0,Inhibition of human ERG channel by dofetilide binding assay,SINGLE PROTEIN,'>',30000.0,nM,30.0
2455,CHEMBL652,4,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,5.41,0.0,Inhibition of human Potassium channel HERG expressed in mammalian cells,SINGLE PROTEIN,'=',3890.45,nM,5.41
2456,CHEMBL3612926,0,CCOc1cc(C(O)CN2CCN(C[C@H](O)c3ccc4c(c3C)COC4=O)CC2)ncc1C#N,4.96,0.0,Displacement of [35S]-MK499 from human ERG expressed in HEK293 cells,SINGLE PROTEIN,'=',11000.0,nM,11.0
2457,CHEMBL2022499,0,O=C(Nc1ccc(-c2nnc(NCCCN3CCCC3)o2)cc1)c1ccccc1F,5.1,0.0,Displacement of [3H]Dofetilide from human ERG expressed in CHO-K1 cells by scintillation proximity assay,SINGLE PROTEIN,'=',7943.28,nM,5.1
2458,CHEMBL2022504,0,O=C(Nc1ccc(-c2nnc(NCCCN3C[C@@H]4CC[C@H]3C4)o2)cc1)c1ccccc1F,5.2,0.0,Displacement of [3H]Dofetilide from human ERG expressed in CHO-K1 cells by scintillation proximity assay,SINGLE PROTEIN,'=',6309.57,nM,5.2
2459,CHEMBL2022733,0,O=C(Nc1ccc(-c2nnc(NCCCCN3CCCCC3)o2)cc1)c1ccccc1F,4.9,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',12589.25,nM,4.9
2460,CHEMBL2024380,0,NS(=O)(=O)c1ccc(OCCCN2CCOCC2)cc1,,0.0,Displacement of [3H] dofetilide from human ERG channel expressed in HEK293 cells after 45 mins by scintillation counting method,SINGLE PROTEIN,,,,
2461,CHEMBL2024388,0,O=C(Nc1ccc(C(F)(F)F)cc1)NS(=O)(=O)c1ccc(OCCN2CCCC2)cc1,,0.0,Displacement of [3H] dofetilide from human ERG channel expressed in HEK293 cells after 45 mins by scintillation counting method,SINGLE PROTEIN,'>',100000.0,nM,100.0
2462,CHEMBL2024393,0,O=C(Nc1ccc(C(F)(F)F)cc1)NS(=O)(=O)c1ccc(OCCN2CCCCC2)cc1,,0.0,Displacement of [3H] dofetilide from human ERG channel expressed in HEK293 cells after 45 mins by scintillation counting method,SINGLE PROTEIN,'>',100000.0,nM,100.0
2463,CHEMBL2024401,0,O=C(Nc1ccccc1)NS(=O)(=O)c1ccc(OCCCN2CCCCC2)cc1,,0.0,Displacement of [3H] dofetilide from human ERG channel expressed in HEK293 cells after 45 mins by scintillation counting method,SINGLE PROTEIN,'>',100000.0,nM,100.0
2464,CHEMBL2021982,0,CC(=O)c1ccc(NC(=O)NS(=O)(=O)c2ccc(OCCCN3CCCC3)cc2)cc1,,0.0,Displacement of [3H] dofetilide from human ERG channel expressed in HEK293 cells after 45 mins by scintillation counting method,SINGLE PROTEIN,'>',100000.0,nM,100.0
2465,CHEMBL2029359,0,CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2cnc3[nH]ccc3c2)n1,,0.0,Inhibition of human ERG by whole cell assay,SINGLE PROTEIN,'>',32000.0,nM,32.0
2466,CHEMBL2030442,0,CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2cccc3[nH]ccc23)n1,,0.0,Inhibition of human ERG by whole cell assay,SINGLE PROTEIN,'>',33000.0,nM,33.0
2467,CHEMBL3099949,0,NC(=O)Nc1ccccc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2,6.4,0.0,Inhibition of human ERG expressed in HEK cells after 3 hrs by ion flux electrophysiology,SINGLE PROTEIN,'=',400.0,nM,0.4
2468,CHEMBL3099943,0,O=C(Nc1cc(Cl)c(O)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2)NC1CC1,6.0,0.0,Inhibition of human ERG expressed in HEK cells after 3 hrs by ion flux electrophysiology,SINGLE PROTEIN,'=',1000.0,nM,1.0
2469,CHEMBL2403327,0,Cc1ccc(Cn2cnc(=O)c3cc(Oc4ncccc4C(F)(F)F)ccc32)cc1,4.77,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',17000.0,nM,17.0
2470,CHEMBL296419,4,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,8.82,0.0,Inhibitory concentration against IKr potassium channel,SINGLE PROTEIN,'=',1.5,nM,0.0015
2471,CHEMBL1097,2,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,4.0,0.0,Inhibitory concentration against IKr potassium channel,SINGLE PROTEIN,'=',100000.0,nM,100.0
2472,CHEMBL42,4,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,5.24,0.0,Inhibition of partially open human voltage-gated potassium channel subunit Kv11.1 (ERG K+ channel),SINGLE PROTEIN,'=',5754.4,nM,-5.24
2473,CHEMBL5281603,0,CN(C)[C@H]1CC[C@]2(CN=C(N3CCc4ccccc4[C@@H]3c3ccc(F)cc3)O2)C1,5.11,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',7800.0,nM,7800.0
2474,CHEMBL5268245,0,Fc1ccc([C@H]2c3ccccc3CCN2C2=NC[C@@H]3CNCC[C@H]3O2)cc1,5.51,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',3100.0,nM,3100.0
2475,CHEMBL2441431,0,O=C1OCc2cc(CC(=O)N3CCN(CCc4ccc([N+](=O)[O-])cc4)CC3)ccc21,5.89,0.0,Displacement of [35S]-MK499 from human ERG,SINGLE PROTEIN,'=',1300.0,nM,1.3
2476,CHEMBL5396132,0,N[C@H](CO)Cn1nnc(-c2ccc(Oc3ncc(Cl)cc3F)cc2)n1,4.55,0.0,Inhibition of hERG by manual patch clamp assay,SINGLE PROTEIN,'=',28000.0,nM,28.0
2477,CHEMBL5421397,0,N[C@@H](CO)Cn1nnc(-c2ccc(Oc3ncc(Cl)cc3F)cc2)n1,,0.0,Inhibition of hERG by manual patch clamp assay,SINGLE PROTEIN,,,,
2478,CHEMBL5181086,0,COc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)Cn3nc(C)nc3C)[C@H](C)C2)cn1,,0.0,Inhibition of hERG expressed in CHO cells by Q patch-clamp method,SINGLE PROTEIN,'>',20000.0,nM,20.0
2479,CHEMBL5405310,0,CN[C@@H](C)C(=O)NC12CCC(Cn3nc(C)c4c3CCN(c3cc(C)nc5c3cnn5C)C4)(CC1)CC2,,0.0,Displacement of [3H]-dofetilite from human ERG (unknown origin),SINGLE PROTEIN,'>',30000.0,nM,30.0
2480,CHEMBL5417891,0,CCCCNc1nc(N)nc2cnn(Cc3ccc(C4CCNCC4)cc3OC)c12,5.4,0.0,Inhibition of hERG,SINGLE PROTEIN,'=',4000.0,nM,4.0
2481,CHEMBL4087218,0,Cc1c([C@@H](O)CN2CCC3(CC2)CCN(c2ccc(S(C)(=O)=O)nc2)C3)ccc2c1COC2=O,,0.0,Displacement of [35S]MK499 from human ERG expressed in HEK293 cells,SINGLE PROTEIN,'>',60000.0,nM,60.0
2482,CHEMBL1938433,0,O=C(/C=C/c1ccc2c(c1)C(=O)CC1(CCN(Cc3ccccc3)CC1)O2)NO,5.42,0.0,Displacement of [3H]astemizole from human ERG channel transfected in HEK293 cells after 60 mins by liquid scintillation counting analysis,SINGLE PROTEIN,'=',3810.0,nM,3.81
2483,CHEMBL4781901,0,O=c1cc(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCCCC3)c12,6.1,0.0,Inhibition of human ERG by Q-patch analysis,SINGLE PROTEIN,'=',800.0,nM,0.8
2484,CHEMBL5197399,0,COc1cc(Nc2ncc(OCc3c(F)c(OC)cc(OC)c3F)cn2)cnc1N1CCC(N2CCN(C)CC2)CC1,5.09,0.0,Inhibition of hERG channel expressed in CHO cells at -80 mV holding potential by Qpatch clamp method,SINGLE PROTEIN,'=',8100.0,nM,8.1
2485,CHEMBL2010816,0,Nc1cncc(Nc2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)n1,5.07,0.0,Inhibition of human ERG by PatchXpress voltage patch clamp assay,SINGLE PROTEIN,'=',8500.0,nM,8.5
2486,CHEMBL5290251,0,NCc1cc2cc(CN3CCOCC3)cc3c(=O)c(C(=O)NCc4ccc(Cl)cc4)cn1c23,5.3,0.0,Inhibition of hERG expressed in CHO cells by automated patch clamp method,SINGLE PROTEIN,'=',5000.0,nM,5.0
2487,CHEMBL5274361,0,NS(=O)(=O)NCc1cc2cc(CN3CCOCC3)cc3c(=O)c(C(=O)NCc4ccc(Cl)cc4)cn1c23,,0.0,Inhibition of hERG expressed in CHO cells by automated patch clamp method,SINGLE PROTEIN,'>',40000.0,nM,40.0
2488,CHEMBL1909079,3,,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2489,CHEMBL1951609,0,CC(C)=CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,5.7,0.0,Inhibition of human ERG by dofetilide binding assay,SINGLE PROTEIN,'=',2000.0,nM,2.0
2490,CHEMBL165,3,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2491,CHEMBL428,4,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2492,CHEMBL4872141,0,CCS(=O)(=O)c1ccc2c(c1)CN(C(=O)C1CCO1)C2C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,,0.0,Inhibition of human ERG,SINGLE PROTEIN,'>',33000.0,nM,33.0
2493,CHEMBL4876902,0,CNS(=O)(=O)c1ccc2c(c1)CN(C=O)C2C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,,0.0,Inhibition of human ERG,SINGLE PROTEIN,'>',40000.0,nM,40.0
2494,CHEMBL1223951,0,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,9.21,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',0.61,nM,0.61
2495,CHEMBL1257577,0,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2cccs2)c1,9.37,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',0.43,nM,0.43
2496,CHEMBL1257821,0,Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)cc1,9.85,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',0.14,nM,0.14
2497,CHEMBL1258391,0,CS(=O)(=O)Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)cc1,8.18,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',6.6,nM,6.6
2498,CHEMBL1258846,0,CC(C)(c1ccccc1)N1[C@@H]2CC[C@H]1C[C@H](Oc1cccc(C(N)=O)c1)C2,8.33,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',4.7,nM,4.7
2499,CHEMBL1257579,0,C[C@H](c1ccc(Cl)nc1)N1[C@@H]2CC[C@H]1C[C@H](Oc1cccc(C(N)=O)c1)C2,8.48,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',3.3,nM,3.3
2500,CHEMBL4597874,0,CC(C)N1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3cccc(O)c3)cc2)CC1,4.61,0.0,Inhibition of human ERG by fluorescence polarization assay,SINGLE PROTEIN,'=',24600.0,nM,24.6
2501,CHEMBL2069925,0,c1ccc(-c2nnc(CN3CCN(Cc4nc5ccccc5s4)CC3)o2)cc1,4.52,0.0,Inhibition of human ERG channel expressed in CHO cells by patch clamp assay,SINGLE PROTEIN,'=',30000.0,nM,30.0
2502,CHEMBL4243419,0,Cc1cc(SC(Cc2ccccc2)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)ccc1OCC(=O)O,,0.0,Inhibition of human ERG after 4 hrs by fluorescence polarization assay,SINGLE PROTEIN,'>',10000.0,nM,10.0
2503,CHEMBL269732,4,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2504,CHEMBL5428619,0,CCNc1cccc(Nc2c(CC)cccc2CC)n1,4.96,0.0,Inhibition of hERG transfected in HEK cells by automatic patch clamp analysis,SINGLE PROTEIN,'=',11000.0,nM,11.0
2505,CHEMBL5425739,0,Cc1nn2cc1CN(C)N1CCC(O)(CCNC(=O)c3nn(C)c4ccc(cc34)Nc3nccc-2n3)CC1,5.06,0.0,Inhibition of human ERG by patch clamp assay,SINGLE PROTEIN,'=',8800.0,nM,8.8
2506,CHEMBL1201146,4,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2507,CHEMBL3758674,0,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CC2CCN(C(=S)C(C)C)CC2)C[C@H]1OC,5.95,0.0,Inhibition of human ERG channel by fluorescence polarization assay,SINGLE PROTEIN,'=',1132.0,nM,1.132
2508,CHEMBL2105807,2,CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)O)O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4O[C@@H]4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C.N,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2509,CHEMBL429,4,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2510,CHEMBL403,4,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2511,CHEMBL1231530,2,O=C(O)CCNC(=O)c1ccccc1,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2512,CHEMBL3746562,0,CC1(c2cc(NC(=O)n3ccc4cc(Oc5ncnc6c5CCNC6)ccc43)n[nH]2)CC1,,0.0,Inhibition of human ERG channel by automated Q-patch assay,SINGLE PROTEIN,'>',30000.0,nM,30000.0
2513,CHEMBL1946016,0,CCN(CC)C(=O)c1ccc(C(=C2CCN(Cc3ccc(F)cc3)CC2)c2ccccn2)cc1,5.41,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',3900.0,nM,3.9
2514,CHEMBL1946619,0,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccn2)cc1,4.48,0.0,Inhibition of human ERG,SINGLE PROTEIN,'=',33000.0,nM,33.0
2515,CHEMBL8,4,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2516,CHEMBL1909064,0,,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2517,CHEMBL60889,3,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2518,CHEMBL154,4,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2519,CHEMBL1939751,0,CCN(C)C(=O)c1ccc([C@H](c2cccc(NC(=O)OC)c2)N2CCN(Cc3cscn3)CC2)cc1,4.77,0.0,Inhibition of human Erg,SINGLE PROTEIN,'=',17000.0,nM,17.0
2520,CHEMBL42,4,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,4.98,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,'=',10571.0,nM,10.571
2521,CHEMBL1200406,4,CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2522,CHEMBL1069,4,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2523,CHEMBL175,4,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2524,CHEMBL469,4,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2525,CHEMBL1440,4,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2526,CHEMBL1200431,4,,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2527,CHEMBL717,4,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2528,CHEMBL64391,4,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,,,,
2529,CHEMBL4094016,0,CN(C/C=C/c1ccc(C(F)(F)F)cc1)Cc1ccc2c(c1)OCCC2.Cl,5.54,0.0,Inhibition of human ERG expressed in CHO cells after 3 mins at -80 mV holding potential by automated patch clamp method,SINGLE PROTEIN,'=',2900.0,nM,2.9
2530,CHEMBL4092973,0,CN(C/C=C/c1ccc(C(F)(F)F)c(F)c1)Cc1ccc2c(c1)OCCC2.Cl,6.7,0.0,Inhibition of human ERG expressed in CHO cells after 3 mins at -80 mV holding potential by automated patch clamp method,SINGLE PROTEIN,'=',200.0,nM,0.2
2531,CHEMBL4088312,0,CN(C/C=C/c1ccc2ccccc2c1)Cc1ccc2c(c1)OCCC2.Cl,4.79,0.0,Inhibition of human ERG expressed in CHO cells after 3 mins at -80 mV holding potential by automated patch clamp method,SINGLE PROTEIN,'=',16200.0,nM,16.2
2532,CHEMBL1626,4,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,6.4,0.0,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),SINGLE PROTEIN,'=',395.1,nM,0.3951
